 #PRESS HGT(MSL) TEMP DEW PT  WND DIR  WND SPD
 #HPA       M      C     C       DEG     M/S  
 #E = Estimated Surface Height
#
  866.  1409.    6.0   -4.1   336.8     1.2
  850.  1526.   14.6   -7.4     9.4     2.7
  800.  2034.   11.2  -11.2   357.5     3.8
  750.  2567.    7.2  -14.9   350.3     7.1
  700.  3129.    3.1  -19.2   347.6    10.4
  650.  3724.   -1.2  -25.5   343.3    10.8
  600.  4357.   -4.9  -34.6   330.9     8.6
  550.  5035.   -8.8  -44.3   309.3     7.3
  500.  5767.  -13.2  -47.2   287.8     8.2
  450.  6560.  -18.6  -44.4   271.1     9.8
  400.  7427.  -24.9  -42.8   262.6    11.0
  350.  8382.  -32.7  -41.9   260.7    11.9
  300.  9446.  -42.0  -45.4   264.7    11.1
  250. 10652.  -51.7  -52.6   251.5    14.3
  200. 12069.  -59.3  -62.5   240.7    18.8
  150. 13872.  -58.8  -71.4   260.8    23.0
  100. 16344.  -69.0  -79.1   258.3    21.8
   50. 20507.  -63.4 -273.1   254.5     8.3
   20. 26335.  -48.4 -273.1   265.4    15.7
